/*********************************************
 * OPL 22.1.1.0 Data
 * Author: duongphuonggiang
 * Creation Date: Mar 28, 2024 at 3:38:19 AM
 *********************************************/
//
//nbV = 7; 
//nbC = 3; 
//
//cluster_idx = [1, 1, 2, 2, 2,3,3];
//
//costs =  [
//    [0,   4,   25,  28,  30,  42,  45]  
//    [4,   0,   27,  30,  32,  44,  47] 
//    [25,  27,  0,   3,   5,   22,  25]  
//    [28,  30,  3,   0,   2,   20,  23]  
//    [30,  32,  5,   2,   0,   18,  21]  
//    [42,  44,  22,  20,  18,  0,   3]   
//    [45,  47,  25,  23,  21,  3,   0]   
//];


nbV = 99;
nbC = 20;
cluster_idx = [2, 2, 14, 14, 14, 14, 6, 6, 6, 2, 18, 14, 14, 14, 10, 10, 19, 19, 18, 18, 8, 10, 10, 10, 10, 10, 4, 8, 8, 8, 8, 8, 20, 20, 4, 4, 8, 8, 12, 12, 12, 20, 20, 4, 17, 3, 3, 12, 12, 12, 12, 12, 17, 17, 3, 3, 16, 16, 16, 12, 7, 7, 7, 13, 13, 13, 16, 9, 9, 7, 7, 15, 13, 13, 13, 9, 9, 9, 9, 15, 15, 5, 5, 9, 9, 9, 9, 9, 1, 1, 5, 11, 11, 11, 11, 1, 1, 1, 1];
costs = [
    [0.0, 14.21, 22.8, 28.16, 42.76, 51.97, 61.29, 71.25, 80.75, 17.0, 24.6, 27.02, 40.46, 41.59, 57.98, 67.12, 80.06, 86.73, 49.09, 40.45, 53.71, 52.48, 58.69, 68.59, 74.03, 83.87, 96.8, 68.03, 74.55, 67.91, 72.62, 83.19, 87.37, 96.05, 95.67, 106.4, 77.01, 91.66, 96.1, 96.57, 91.79, 99.13, 99.62, 106.89, 121.51, 105.0, 107.23, 99.82, 119.37, 110.49, 118.07, 122.3, 128.47, 134.01, 120.07, 130.46, 126.15, 130.5, 137.79, 127.95, 142.86, 145.79, 148.95, 142.06, 143.35, 150.21, 154.35, 158.15, 158.43, 158.77, 161.55, 165.6, 173.0, 158.15, 166.09, 175.41, 172.7, 168.96, 179.95, 170.7, 177.1, 191.04, 192.17, 186.3, 185.78, 195.14, 196.73, 192.63, 201.9, 205.77, 207.01, 213.08, 206.62, 213.84, 203.18, 215.37, 210.72, 218.22, 215.04]
    [14.21, 0.0, 9.49, 18.25, 33.14, 42.01, 52.24, 62.2, 71.0, 10.82, 11.18, 12.81, 26.25, 29.12, 44.72, 54.23, 67.42, 74.73, 39.85, 29.15, 40.16, 38.47, 44.55, 54.49, 60.22, 70.0, 83.35, 58.05, 63.0, 55.44, 59.14, 69.46, 73.25, 81.84, 81.69, 92.46, 66.48, 80.02, 83.73, 83.74, 78.19, 85.09, 85.45, 92.7, 107.3, 94.53, 96.02, 87.57, 106.51, 97.08, 104.28, 108.3, 114.39, 119.81, 109.77, 119.02, 114.28, 117.89, 124.95, 114.49, 129.24, 131.95, 134.83, 131.64, 132.0, 138.36, 141.88, 145.53, 145.21, 145.25, 147.85, 151.65, 162.31, 147.01, 154.32, 163.23, 160.03, 155.96, 166.68, 157.1, 163.25, 180.47, 181.0, 174.48, 173.53, 182.65, 183.86, 179.54, 188.49, 192.2, 196.12, 202.02, 195.13, 201.9, 190.7, 202.62, 197.69, 204.92, 201.55]
    [22.8, 9.49, 0.0, 10.82, 24.74, 33.24, 43.74, 53.6, 62.07, 18.25, 10.63, 7.07, 18.79, 19.65, 35.36, 44.78, 57.94, 65.25, 40.82, 28.64, 35.23, 32.28, 36.24, 46.01, 51.22, 61.07, 74.09, 57.58, 60.67, 52.04, 53.94, 63.6, 66.19, 74.06, 72.92, 83.63, 65.25, 77.32, 80.02, 79.4, 72.53, 78.29, 78.03, 84.5, 99.4, 92.96, 93.65, 84.01, 101.97, 91.68, 98.08, 101.55, 107.35, 112.07, 108.26, 116.21, 111.0, 113.64, 120.35, 108.93, 123.33, 125.54, 127.63, 129.88, 129.25, 135.0, 137.71, 141.15, 139.95, 139.47, 141.74, 144.93, 160.13, 144.42, 151.0, 159.38, 155.56, 151.01, 161.3, 151.16, 156.78, 178.36, 178.28, 171.05, 169.58, 178.36, 179.07, 174.42, 182.85, 186.27, 193.66, 199.36, 192.01, 198.25, 186.42, 197.94, 192.63, 199.45, 195.75]
    [28.16, 18.25, 10.82, 0.0, 15.0, 24.08, 34.06, 44.05, 53.08, 28.46, 21.26, 16.4, 23.02, 14.87, 31.83, 40.0, 52.48, 58.69, 50.8, 38.28, 41.3, 37.0, 36.77, 45.65, 49.04, 58.9, 70.29, 66.64, 68.41, 59.03, 59.01, 67.6, 68.31, 74.69, 71.06, 81.47, 73.74, 84.53, 86.28, 85.01, 76.66, 80.65, 79.31, 84.06, 99.48, 100.96, 101.0, 90.35, 107.12, 95.89, 101.14, 103.73, 109.0, 112.38, 116.21, 123.04, 117.43, 119.04, 125.32, 112.79, 126.61, 128.08, 128.86, 137.54, 136.07, 141.23, 143.09, 146.28, 144.01, 142.86, 144.64, 146.89, 167.36, 151.33, 157.2, 165.01, 160.53, 155.43, 165.13, 154.28, 159.09, 185.61, 184.98, 177.07, 175.07, 183.46, 183.58, 178.54, 186.27, 189.28, 200.56, 206.07, 198.31, 204.0, 191.51, 202.55, 196.79, 203.05, 198.92]
    [42.76, 33.14, 24.74, 15.0, 0.0, 9.22, 19.1, 29.07, 38.12, 42.95, 34.01, 28.18, 28.02, 12.08, 24.04, 29.41, 40.36, 45.28, 60.88, 48.17, 45.62, 39.92, 34.01, 40.61, 41.23, 50.54, 59.55, 74.4, 73.79, 63.56, 60.64, 67.27, 65.28, 69.38, 62.65, 72.4, 80.26, 88.6, 88.77, 86.49, 76.16, 77.52, 74.73, 77.08, 92.85, 106.1, 105.0, 92.89, 107.47, 95.02, 98.51, 99.82, 104.29, 105.85, 121.08, 125.88, 119.64, 119.6, 125.14, 111.11, 123.91, 124.34, 123.33, 141.68, 138.74, 142.86, 143.35, 146.12, 142.28, 140.16, 141.23, 142.17, 170.51, 154.03, 158.68, 165.51, 160.01, 154.12, 162.89, 151.08, 154.74, 188.69, 187.11, 178.13, 175.29, 183.01, 182.22, 176.64, 183.31, 185.72, 202.98, 208.14, 199.7, 204.48, 191.0, 201.25, 194.83, 200.26, 195.53]
    [51.97, 42.01, 33.24, 24.08, 9.22, 0.0, 10.77, 20.4, 29.02, 51.48, 41.76, 35.74, 32.65, 16.64, 21.1, 23.41, 32.65, 36.62, 66.61, 54.08, 48.6, 42.44, 33.53, 38.05, 36.67, 45.22, 52.43, 78.57, 76.55, 66.04, 61.47, 66.71, 63.07, 65.62, 57.01, 66.19, 83.6, 90.34, 89.54, 86.68, 75.31, 75.0, 71.34, 72.12, 87.93, 108.3, 106.51, 93.64, 106.71, 93.65, 96.01, 96.52, 100.45, 100.88, 122.98, 126.49, 119.92, 118.87, 123.91, 109.07, 121.15, 120.93, 118.85, 143.0, 139.18, 142.64, 142.27, 144.78, 140.0, 137.3, 137.93, 138.08, 171.09, 154.4, 158.27, 164.48, 158.38, 152.03, 160.2, 147.87, 150.81, 189.17, 187.01, 177.39, 174.04, 181.33, 180.0, 174.1, 180.11, 182.16, 203.0, 207.93, 199.1, 203.31, 189.26, 199.0, 192.21, 197.12, 192.05]
    [61.29, 52.24, 43.74, 34.06, 19.1, 10.77, 0.0, 10.0, 19.65, 61.98, 52.5, 46.49, 43.01, 27.29, 27.73, 26.08, 31.02, 32.02, 77.1, 64.66, 58.05, 51.74, 41.18, 43.68, 40.11, 47.17, 51.08, 88.39, 85.6, 75.0, 69.35, 73.39, 68.25, 69.01, 58.05, 66.1, 92.96, 98.62, 97.08, 93.78, 81.61, 79.63, 75.06, 73.82, 89.44, 116.81, 114.53, 101.13, 112.79, 99.25, 100.4, 100.0, 103.24, 102.18, 131.23, 133.7, 126.87, 124.91, 129.44, 113.86, 125.06, 124.1, 120.67, 150.73, 146.18, 149.04, 147.87, 150.1, 144.35, 141.0, 141.13, 140.29, 178.14, 161.31, 164.45, 170.04, 163.36, 156.54, 164.01, 151.12, 153.18, 196.09, 193.4, 183.2, 179.36, 186.19, 184.27, 178.04, 183.27, 184.88, 209.48, 214.18, 205.0, 208.63, 194.03, 203.2, 196.0, 200.3, 194.83]
    [71.25, 62.2, 53.6, 44.05, 29.07, 20.4, 10.0, 0.0, 10.3, 71.85, 62.1, 56.04, 51.48, 36.4, 33.3, 28.64, 29.02, 26.93, 85.59, 73.36, 65.19, 58.8, 46.86, 47.41, 42.06, 47.38, 48.05, 95.78, 92.02, 81.39, 74.63, 77.37, 70.84, 69.87, 57.01, 63.79, 99.7, 104.04, 101.71, 97.95, 85.09, 81.49, 76.12, 73.01, 88.2, 122.41, 119.57, 105.68, 115.77, 101.83, 101.79, 100.5, 103.04, 100.6, 136.46, 137.75, 130.68, 127.76, 131.73, 115.52, 125.78, 124.1, 119.42, 155.31, 149.97, 152.16, 150.15, 152.08, 145.38, 141.43, 141.06, 139.29, 181.86, 164.92, 167.29, 172.2, 164.94, 157.69, 164.44, 151.05, 152.27, 199.62, 196.38, 185.59, 181.25, 187.58, 185.08, 178.55, 183.0, 184.17, 212.51, 216.97, 207.42, 210.44, 195.32, 203.89, 196.31, 200.0, 194.16]
