/*********************************************
 * OPL 22.1.1.0 Data
 * Author: duongphuonggiang
 * Creation Date: Mar 29, 2024 at 11:22:49 AM
 *********************************************/

nbV = 14;
nbC = 3;
cluster_idx = [2, 3, 3, 3, 1, 3, 3, 2, 2, 2, 2, 3, 3, 3];
costs = [
    [0, 1.66, 5.08, 6.52, 8.83, 5.53, 4.1, 0.75, 1.29, 3.15, 1.28, 5.08, 3.12, 3.94]
    [1.66, 0.0, 4.09, 6.02, 9.2, 5.76, 4.76, 1.99, 2.94, 4.4, 2.94, 5.18, 3.98, 3.62]
    [5.08, 4.09, 0.0, 2.45, 6.96, 4.0, 4.5, 4.73, 6.15, 8.22, 6.01, 3.37, 4.64, 2.01]
    [6.52, 6.02, 2.45, 0.0, 4.8, 2.71, 4.12, 5.96, 7.29, 9.6, 7.1, 2.38, 4.8, 2.59]
    [8.83, 9.2, 6.96, 4.8, 0.0, 3.44, 4.77, 8.09, 8.93, 11.21, 8.7, 4.06, 5.82, 5.8]
    [5.53, 5.76, 4.0, 2.71, 3.44, 0.0, 1.81, 4.81, 5.85, 8.22, 5.63, 0.66, 2.81, 2.43]
    [4.1, 4.76, 4.5, 4.12, 4.77, 1.81, 0.0, 3.35, 4.19, 6.51, 3.96, 1.77, 1.07, 2.5]
    [0.75, 1.99, 4.73, 5.96, 8.09, 4.81, 3.35, 0.0, 1.41, 3.64, 1.28, 4.38, 2.36, 3.37]
    [1.29, 2.94, 6.15, 7.29, 8.93, 5.85, 4.19, 1.41, 0.0, 2.37, 0.23, 5.52, 3.12, 4.73]
    [3.15, 4.4, 8.22, 9.6, 11.21, 8.22, 6.51, 3.64, 2.37, 0.0, 2.59, 7.89, 5.45, 7.02]
    [1.28, 2.94, 6.01, 7.1, 8.7, 5.63, 3.96, 1.28, 0.23, 2.59, 0.0, 5.3, 2.89, 4.55]
    [5.08, 5.18, 3.37, 2.38, 4.06, 0.66, 1.77, 4.38, 5.52, 7.89, 5.3, 0.0, 2.61, 1.77]
    [3.12, 3.98, 4.64, 4.8, 5.82, 2.81, 1.07, 2.36, 3.12, 5.45, 2.89, 2.61, 0.0, 2.67]
    [3.94, 3.62, 2.01, 2.59, 5.8, 2.43, 2.5, 3.37, 4.73, 7.02, 4.55, 1.77, 2.67, 0.0]
];

//nbV=15;
//nbC=15;
//
//cluster_idx=[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15];
//
//costs=[[0, 29, 82, 46, 68, 52, 72, 42, 51, 55, 29, 74, 23, 72, 46],
// [29, 0, 55, 46, 42, 43, 43, 23, 23, 31, 41, 51, 11, 52, 21],
// [82, 55, 0, 68, 46, 55, 23, 43, 41, 29, 79, 21, 64, 31, 51],
// [46, 46, 68, 0, 82, 15, 72, 31, 62, 42, 21, 51, 51, 43, 64],
// [68, 42, 46, 82, 0, 74, 23, 52, 21, 46, 82, 58, 46, 65, 23],
// [52, 43, 55, 15, 74, 0, 61, 23, 55, 31, 33, 37, 51, 29, 59],
// [72, 43, 23, 72, 23, 61, 0, 42, 23, 31, 77, 37, 51, 46, 33],
// [42, 23, 43, 31, 52, 23, 42, 0, 33, 15, 37, 33, 33, 31, 37],
// [51, 23, 41, 62, 21, 55, 23, 33, 0, 29, 62, 46, 29, 51, 11],
// [55, 31, 29, 42, 46, 31, 31, 15, 29, 0, 51, 21, 41, 23, 37],
// [29, 41, 79, 21, 82, 33, 77, 37, 62, 51, 0, 65, 42, 59, 61],
// [74, 51, 21, 51, 58, 37, 37, 33, 46, 21, 65, 0, 61, 11, 55],
// [23, 11, 64, 51, 46, 51, 51, 33, 29, 41, 42, 61, 0, 62, 23],
// [72, 52, 31, 43, 65, 29, 46, 31, 51, 23, 59, 11, 62, 0, 59],
// [46, 21, 51, 64, 23, 59, 33, 37, 11, 37, 61, 55, 23, 59, 0]];
